Continent,Country,State,Address,ZipCode,ProductName,ProductCategory,ProductSubcategory,OrderDate,DeliveryDate,Cost,UnitPrice,Quantity,FirstName,LastName,Email,Phone,StoreName
Europe,France,State2,4443 Kaitlyn Port,55341,Mobile - Answer,Electronics,Mobile,2025-01-02,2025-01-11,221.63,253.01,1,Brianna,King,welchsteven@martin.biz,001-835-278-0878x571,"Hill, King and Long"
North America,USA,New York,00900 Lewis Dam,45341,Laptop - Arrive,Electronics,Laptop,2025-03-26,2025-03-31,815.79,245.57,4,Wyatt,Dalton,sdyer@yahoo.com,(861)728-4703x446,Fernandez LLC
Europe,UK,State2,6841 Phillips Loop Apt. 517,41475,Laptop - Pull,Electronics,Laptop,2025-03-26,2025-03-30,116.82,187.78,1,Troy,Edwards,daniel76@craig.com,001-656-003-3752,White LLC
Asia,Japan,State1,222 Davis Greens,44870,Laptop - Court,Electronics,Laptop,2025-06-03,2025-06-12,1116.21,319.35,4,Michael,Hardin,shawnanderson@yahoo.com,(604)142-6430x2970,"Nelson, Scott and Taylor"
Europe,Germany,Bavaria,821 Christine Flats,47910,Mobile - Offer,Electronics,Mobile,2025-01-31,2025-02-06,238.76,117.28,3,Danielle,Hernandez,gabriellittle@miller.com,001-628-407-6953,Tyler and Sons
Asia,China,State1,6790 Stephanie Mill Apt. 446,56985,Mobile - Player,Electronics,Mobile,2025-01-22,2025-01-24,1108.11,423.01,3,Tina,Bennett,ryansutton@gmail.com,+1-943-868-2508x55925,"Mcdonald, Peck and Hopkins"
Asia,Japan,State1,9232 West Via Apt. 734,94589,Couch - Store,Furniture,Couch,2025-06-15,2025-06-18,1944.7,468.7,6,Maria,Gutierrez,uwoodward@nelson.com,466-610-5149x618,Duncan and Sons
Asia,China,State2,244 Preston Throughway Apt. 951,68676,Shirt - Anything,Clothing,Shirt,2025-05-27,2025-06-06,3816.91,442.02,10,Susan,Howell,omarsh@hotmail.com,408-833-1838x0169,"Foster, Shaw and Dunn"
Asia,India,Telangana,377 Crystal Ridge,72726,Mobile - Sit,Electronics,Mobile,2025-03-16,2025-03-21,1252.1,195.32,9,Lindsay,Davis,sarahjohnson@lewis-mason.com,(002)391-5231,Harrison-Richards
North America,Canada,State1,140 Christopher Oval,06464,Tablet - Without,Electronics,Tablet,2025-03-17,2025-03-22,894.24,154.15,9,Isaiah,Martinez,hlopez@gmail.com,+1-590-317-7569x000,Cervantes Group
Asia,India,Karnataka,5324 Moreno Glens Apt. 871,49353,Chair - Road,Furniture,Chair,2025-02-10,2025-02-20,2943.1,444.06,10,Robin,Edwards,ryan11@yahoo.com,+1-087-027-2820x4009,"Perkins, Cuevas and Goodman"
Asia,China,State1,9123 Daniel Shores,89795,Tablet - Economy,Electronics,Tablet,2025-07-21,2025-07-29,1315.25,193.39,9,Alexander,Brooks,josephjones@taylor.com,(762)520-2131,Callahan PLC
Asia,China,State2,326 Frazier Courts,98713,Jacket - Bit,Clothing,Jacket,2025-06-19,2025-06-28,1500.02,242.14,8,Katherine,Morales,prattvanessa@norton-harmon.biz,001-290-251-5386x4267,Elliott-Swanson
North America,Mexico,State1,75304 Michael Flat Apt. 984,10234,Mobile - East,Electronics,Mobile,2025-01-07,2025-01-12,2489.53,432.95,8,Bruce,Cooper,laura08@yahoo.com,528.467.7037x84679,Jackson PLC
Europe,France,State2,764 Rivas Junction,67339,Shirt - Million,Clothing,Shirt,2025-01-20,2025-01-27,895.68,279.77,5,Jesse,Murphy,jimenezfrank@gibson.info,282.901.8320,"Smith, Pena and Perez"
Asia,China,State2,0636 Charles River,78690,Jeans - Herself,Clothing,Jeans,2025-02-11,2025-02-16,227.31,30.16,10,Benjamin,Johnson,moralescaleb@hotmail.com,471.170.6485x7968,Walton Inc
Europe,France,State2,0790 Walters Plains,90251,Table - Only,Furniture,Table,2025-06-07,2025-06-15,1685.81,404.21,6,Christopher,Wright,sloancory@nicholson-rogers.biz,677.619.5249x6017,Mccoy Inc
Europe,Germany,Bavaria,77022 Angela Glen Suite 347,66666,Chair - American,Furniture,Chair,2025-03-01,2025-03-07,232.35,185.96,2,Morgan,Alexander,michelle20@lowery.com,+1-489-873-5872,Cole LLC
North America,Mexico,State1,702 Johnson Via Apt. 986,87792,Chair - Low,Furniture,Chair,2025-03-08,2025-03-11,54.98,44.96,2,Rodney,Reeves,smitchell@yahoo.com,(739)835-6523,"Lawson, Herring and Lewis"
Asia,China,State1,73533 Jacobson Loaf,83177,Jeans - Player,Clothing,Jeans,2025-01-31,2025-02-06,1557.89,375.15,5,Eric,Christian,rlee@gmail.com,421-563-4526,"Quinn, Butler and Gibson"
Europe,Germany,Hamburg,33570 Hill Lakes Suite 143,36007,Shirt - Development,Clothing,Shirt,2025-06-05,2025-06-15,48.91,14.18,5,Monica,Villa,garciamatthew@baker.com,(188)424-6381,Marsh PLC
Europe,France,State2,4792 Guerrero Heights,23836,Jacket - Way,Clothing,Jacket,2025-05-23,2025-05-25,2371.09,330.5,8,Brenda,Johns,jonchandler@yahoo.com,998.759.1530,Martin Inc
Asia,China,State1,347 Samantha Freeway,06886,Tablet - Ask,Electronics,Tablet,2025-06-30,2025-07-05,773.12,124.52,8,Matthew,Owens,mark31@ramsey.com,643-786-2430x146,Pacheco-Green
North America,Canada,State2,069 Allen Mission,41069,Chair - Add,Furniture,Chair,2025-06-15,2025-06-22,777.06,220.11,4,Catherine,Ibarra,stonetravis@fuller.com,001-471-590-1125x02316,Doyle-Garza
Europe,Germany,Berlin,89868 Danielle Creek Apt. 086,10979,Couch - Another,Furniture,Couch,2025-01-01,2025-01-03,403.94,78.09,6,Joseph,Miles,nathanjefferson@hotmail.com,(699)784-2001x4144,Juarez-Lopez
Europe,UK,State1,38615 Jackson Squares Suite 994,60395,Couch - Century,Furniture,Couch,2025-04-10,2025-04-17,526.09,120.49,6,Theresa,Keller,paulahurst@hotmail.com,001-982-930-5577x97983,Smith-Alvarez
Europe,UK,State2,59394 Leslie Trail,37298,Couch - In,Furniture,Couch,2025-06-22,2025-06-24,3461.25,394.83,10,Lisa,Hall,matthewstokes@johnson.net,+1-696-609-6354x7607,Smith-Collins
Asia,China,State2,62264 Melendez Pine Apt. 245,76840,Chair - General,Furniture,Chair,2025-02-01,2025-02-09,357.01,271.9,2,Kelly,Shaw,richard35@owen.com,795.076.5573x7485,Miller Inc
Asia,China,State2,846 Mcguire Vista Apt. 175,22769,Jeans - Short,Clothing,Jeans,2025-03-02,2025-03-05,140.41,61.11,3,Melissa,Christian,anna65@clark.biz,499.902.0385x4070,Jones-Jackson
Asia,Japan,State2,42695 Small Forges,91560,Mobile - Artist,Electronics,Mobile,2025-04-12,2025-04-17,653.58,456.56,2,Amy,Jones,pbrooks@martin-mitchell.com,262-040-8520x6334,Peterson Ltd
Asia,India,Maharashtra,737 Adrienne Run Suite 593,86878,Jacket - Value,Clothing,Jacket,2025-06-08,2025-06-11,230.6,38.15,8,Jeffery,Romero,josephchloe@yahoo.com,603-330-8544,Jones PLC
Asia,China,State2,20931 Thomas Plaza Apt. 210,76568,Chair - Before,Furniture,Chair,2025-07-25,2025-07-28,608.59,272.86,3,John,Perry,yayers@yahoo.com,365.764.5545x903,"Turner, Barnes and Brock"
Asia,China,State1,51102 Weber Ports Suite 533,06964,Mobile - Enough,Electronics,Mobile,2025-07-15,2025-07-21,2298.7,410.77,7,Amanda,Dennis,hayleylopez@harris.com,855-070-2640x6260,Austin Ltd
Asia,Japan,State2,448 Kim Coves,55559,Shirt - Image,Clothing,Shirt,2025-06-20,2025-06-30,698.45,144.97,8,Susan,Hart,donna79@wright-thompson.com,6957252023,Love-Flores
Asia,China,State1,8284 Brittany Views,94653,Couch - Sit,Furniture,Couch,2025-05-21,2025-05-26,1187.32,171.16,9,Bridget,Yu,cruzjessica@hotmail.com,001-194-564-4645,"Harvey, Gibson and Tate"
Europe,France,State2,2867 Rivera Park,01724,Shirt - Charge,Clothing,Shirt,2025-04-03,2025-04-06,1430.36,326.69,5,Kristin,Shaw,wgeorge@gmail.com,467-093-6725,"Smith, Scott and Schmitt"
Europe,UK,State2,177 Maria Park Apt. 460,88702,Couch - Well,Furniture,Couch,2025-01-18,2025-01-22,804.36,132.08,7,John,Gutierrez,alexander79@anderson.com,(752)754-2832x867,"Anderson, Gordon and Johnson"
North America,Canada,State2,6881 Howard Mountain,14894,Couch - Right,Furniture,Couch,2025-07-15,2025-07-19,459.93,56.81,10,Heather,Diaz,amiller@yahoo.com,+1-940-936-3646,Knapp-Chung
Asia,India,Telangana,611 Jamie Isle,54938,Couch - Purpose,Furniture,Couch,2025-01-06,2025-01-16,1043.68,336.66,5,Tracey,Lopez,sarah82@yahoo.com,(961)921-2697x4869,Carroll-Wood
North America,Mexico,State1,319 Spears Centers Suite 270,34562,Table - Mention,Furniture,Table,2025-04-29,2025-05-09,620.11,497.71,2,Jeanne,Price,kathleencervantes@miller.com,(746)901-7631,"Olson, Molina and Romero"
Asia,Japan,State2,553 Smith Turnpike,20149,Table - Some,Furniture,Table,2025-02-05,2025-02-09,342.3,111.61,5,Glenn,Smith,robert35@gibson-myers.com,(984)104-0032,"Petersen, Atkins and Sanchez"
Asia,India,Karnataka,274 Clark Underpass Suite 235,54654,Jacket - Manager,Clothing,Jacket,2025-03-20,2025-03-29,898.84,178.39,7,Christopher,Hawkins,sanfordmary@smith.org,862-185-3111x28177,Robinson and Sons
Asia,China,State1,3694 Thompson Cliffs Apt. 265,76721,Laptop - Stuff,Electronics,Laptop,2025-01-12,2025-01-15,421.24,170.28,3,Zachary,Rogers,tiffanyhenry@love.org,037-535-3132x452,Walsh Group
Europe,France,State1,30568 Peters Motorway Apt. 265,20392,Tablet - Through,Electronics,Tablet,2025-06-24,2025-06-29,532.93,78.73,8,Justin,Dickerson,masonernest@hotmail.com,+1-838-820-1514x977,"Rivera, Hayes and Garcia"
Asia,India,Telangana,5765 William Expressway,18048,Shirt - Model,Clothing,Shirt,2025-06-10,2025-06-14,291.26,70.83,5,Jacqueline,Ballard,francodiana@hotmail.com,902-948-4943x457,Andrews-Sanchez
Asia,India,Karnataka,5009 Heidi Ranch Suite 678,25078,Tablet - Media,Electronics,Tablet,2025-06-08,2025-06-14,442.84,225.92,3,Donald,Clark,patricksmith@gmail.com,001-412-706-6185,Jones-Keith
North America,USA,New York,2020 Sara Station,28637,Shirt - Remain,Clothing,Shirt,2025-03-31,2025-04-09,354.16,419.89,1,Andrea,Dunn,alexanderdurham@simmons.com,203.734.4836x567,Johnson-Schmidt
North America,Mexico,State1,574 Brianna Overpass Suite 054,51762,Couch - A,Furniture,Couch,2025-06-28,2025-07-04,171.66,35.68,8,Lori,Harris,longjessica@garza.com,688-730-5886x810,"Garcia, Fuller and Smith"
Europe,Germany,Bavaria,6254 Waters Causeway,90471,Chair - To,Furniture,Chair,2025-03-04,2025-03-09,21.73,17.86,2,Antonio,Murphy,alexis14@martinez-stewart.info,001-000-190-0738x85467,Lewis-Davis
Asia,China,State1,390 Garcia Coves Suite 967,09372,Jacket - Whose,Clothing,Jacket,2025-04-01,2025-04-04,1207.12,479.79,4,Alexandra,Thomas,belldavid@weaver.com,(111)903-5940x942,"Parker, Crawford and Sanchez"
North America,USA,New York,990 Kathleen Dam Apt. 887,89548,Mobile - Recently,Electronics,Mobile,2025-04-20,2025-04-28,394.4,62.77,9,Robert,Mcdonald,chaneypaul@gmail.com,001-895-134-0399x7838,Petersen LLC
North America,Mexico,State1,183 Allen Spurs,99621,Shirt - Main,Clothing,Shirt,2025-04-22,2025-05-02,2093.55,470.07,7,Ashley,Harris,whitekaren@gmail.com,207.154.8185x13311,Caldwell-Delgado
Asia,India,Maharashtra,7192 Kathryn Well Apt. 028,58685,Chair - Tax,Furniture,Chair,2025-07-02,2025-07-04,1396.25,330.46,7,Luis,Kim,wesley23@huff.info,871.924.9726x5571,"Perry, Peterson and Calderon"
Asia,China,State1,514 Perez Knolls Apt. 574,39451,Tablet - Current,Electronics,Tablet,2025-06-07,2025-06-13,1183.34,190.8,10,Erica,Avery,donald69@coffey.com,115-673-3851,Johnston-Perry
Asia,China,State2,506 Tara Plains,27013,Jeans - Front,Clothing,Jeans,2025-06-28,2025-07-01,3138.01,397.72,9,William,Clark,jonathonmorris@thompson.com,603.456.3338x92349,Mitchell-Fisher
North America,USA,Texas,51557 Richard Plain Apt. 324,89267,Tablet - Value,Electronics,Tablet,2025-05-20,2025-05-27,2135.82,342.17,7,Joanne,Odonnell,grayelizabeth@hotmail.com,+1-628-697-4762x37038,Ramirez LLC
North America,USA,Texas,8193 Laura Drives,23943,Tablet - Guy,Electronics,Tablet,2025-04-19,2025-04-26,208.61,43.08,8,Jennifer,Bean,sarahmiles@dixon.com,001-625-394-1854x55418,Castro-Wallace
North America,Canada,State2,40035 Walker Flats,21277,Jacket - Position,Clothing,Jacket,2025-03-05,2025-03-10,2403.32,297.86,9,William,Jordan,elizabeth90@riggs-riley.net,(571)689-6213x2508,Ryan-Moreno
Asia,India,Karnataka,7608 Jason Ports,22783,Laptop - Key,Electronics,Laptop,2025-03-09,2025-03-14,2096.35,381.05,7,Melissa,Stephens,randall36@miller.com,8460172628,"Russell, Herrera and Cruz"
Asia,India,Maharashtra,9084 Campbell Common Apt. 634,85959,Table - Specific,Furniture,Table,2025-01-06,2025-01-11,461.59,194.12,3,Jasmine,Garrison,sherribrown@garcia.biz,(284)554-1408,Duffy Ltd
Asia,Japan,State2,29511 William Pine Suite 106,96329,Jeans - Prove,Clothing,Jeans,2025-05-09,2025-05-13,692.24,165.59,5,Toni,Perry,whitepedro@phillips.com,+1-174-953-8916x2441,Gilbert-House
Asia,Japan,State2,7321 Bailey Well Apt. 423,69291,Jeans - Agent,Clothing,Jeans,2025-06-11,2025-06-13,1188.95,425.0,4,Ashley,Reed,murraylauren@hotmail.com,7298502305,Sims-Gardner
Asia,India,Karnataka,33171 Gibson Trace Suite 541,22875,Tablet - Purpose,Electronics,Tablet,2025-01-12,2025-01-17,880.05,307.95,4,Anna,Marsh,karen92@smith.net,+1-815-208-9521x76801,Hamilton-Davis
Europe,Germany,Berlin,0732 Brady Rapid,08805,Shirt - Teacher,Clothing,Shirt,2025-03-03,2025-03-06,233.05,44.29,8,Jesse,Burke,wrighttamara@diaz.com,496.238.3844x0376,Lawson-Martin
North America,USA,California,85803 Tricia Pike Suite 414,73458,Mobile - Hear,Electronics,Mobile,2025-04-10,2025-04-14,2339.11,278.94,10,Robert,Sanchez,robertsonlisa@villegas-molina.com,+1-871-590-5182x37721,Carlson PLC
Asia,India,Karnataka,117 Todd Glen,94120,Laptop - Artist,Electronics,Laptop,2025-01-21,2025-01-30,298.12,90.44,5,Alejandro,Gonzalez,preston84@hotmail.com,(573)744-9666x0723,King-Scott
Europe,Germany,Hamburg,1208 Amy Fields Suite 893,66177,Laptop - Indeed,Electronics,Laptop,2025-05-27,2025-06-02,1815.8,229.65,10,Danielle,Kelly,adam39@ayala.biz,2695775266,"Brown, Carter and Keith"
Europe,France,State1,67817 Hernandez Village Apt. 353,64396,Table - Option,Furniture,Table,2025-04-23,2025-05-01,524.72,240.65,3,Paul,Adams,alexanderhuber@allen-richardson.biz,8853298734,"Mcconnell, Robinson and Yang"
North America,Mexico,State2,475 Luna Flats Suite 704,77632,Laptop - Sea,Electronics,Laptop,2025-01-12,2025-01-14,959.92,219.42,7,Stephanie,Williams,mferguson@yahoo.com,(659)773-9610x340,Miller PLC
Europe,UK,State1,80417 Patterson Route,36927,Jacket - Gun,Clothing,Jacket,2025-07-02,2025-07-06,679.37,196.42,5,Pamela,Johnson,hurstwesley@bryant.biz,001-916-587-2363,Kerr Group
Europe,France,State2,8671 Paul Valleys Suite 281,73013,Laptop - Foot,Electronics,Laptop,2025-01-28,2025-02-01,741.16,105.9,8,Tanya,Randall,melissachang@davidson.com,991-960-8415x855,Johnson PLC
Asia,India,Karnataka,3185 Cunningham Park Apt. 716,98985,Jacket - Data,Clothing,Jacket,2025-06-30,2025-07-07,1207.31,208.23,8,Cindy,Scott,kara00@francis.com,560.231.0640x797,"Perez, Mccarthy and Ramirez"
Europe,UK,State2,427 Julia Green Suite 992,49631,Table - Cold,Furniture,Table,2025-06-09,2025-06-15,388.61,44.9,10,Danny,Farrell,lisarussell@yahoo.com,758-783-7105x392,"Yang, Thompson and Hoffman"
Asia,China,State1,536 Katrina Coves,62821,Laptop - Hear,Electronics,Laptop,2025-01-22,2025-01-28,1163.38,259.71,6,Keith,Walker,bryan25@finley-brown.com,316-677-5270,Steele-Simpson
North America,Canada,State1,76350 Marks Trace Suite 272,75142,Jeans - Left,Clothing,Jeans,2025-02-12,2025-02-20,314.33,128.75,4,Jennifer,Rangel,williamsoto@yahoo.com,001-676-227-0254x3163,Keith PLC
Europe,UK,State1,2560 Cruz Mountain Apt. 036,81812,Jacket - Paper,Clothing,Jacket,2025-01-26,2025-01-30,1354.33,306.66,5,Andrew,Steele,jennifer50@li.com,9731220667,Dixon-Forbes
Asia,China,State1,242 Heather Loop,74582,Jacket - Learn,Clothing,Jacket,2025-06-07,2025-06-11,42.18,67.2,1,Joshua,Rogers,dmcintyre@wade.com,057.321.3678x86455,Mitchell-Smith
North America,Canada,State2,70557 Michael Estate,82145,Jacket - There,Clothing,Jacket,2025-05-25,2025-05-28,3540.01,455.88,9,Sophia,Johnson,rpreston@yahoo.com,235-998-9625,Ortiz LLC
Asia,China,State2,62551 Miller Union,77489,Jeans - Option,Clothing,Jeans,2025-06-04,2025-06-14,2140.18,332.66,9,Monique,Griffin,clinejames@hotmail.com,953-127-3445x801,"Hernandez, Ross and Edwards"
Europe,UK,State2,1646 Luis Squares Suite 532,19000,Shirt - Probably,Clothing,Shirt,2025-07-11,2025-07-14,2747.02,390.58,10,David,Leonard,rwilliams@hotmail.com,014-812-9719,Watts-Rodriguez
Asia,China,State1,74812 Robertson Oval Apt. 008,02875,Jeans - Open,Clothing,Jeans,2025-07-27,2025-08-02,417.08,493.64,1,Mario,Weaver,melissa80@martinez.com,081-056-3586x99021,Williams-Larsen
Asia,India,Telangana,460 Susan Club Apt. 467,55816,Jeans - Star,Clothing,Jeans,2025-04-02,2025-04-12,1898.13,330.72,7,Kimberly,Thomas,janiceramsey@knight-shields.biz,001-207-498-8495x91260,Davis Ltd
Asia,India,Maharashtra,656 Simpson Well Apt. 665,64853,Tablet - Training,Electronics,Tablet,2025-02-27,2025-03-03,745.89,248.37,4,Melissa,Ellison,andrewwhitney@reed.net,001-641-645-0862,Sanchez Inc
Asia,China,State1,07248 Cruz Court,24926,Mobile - Type,Electronics,Mobile,2025-05-06,2025-05-08,801.9,406.5,3,Robert,Stafford,tracy58@yahoo.com,805-839-3408,Bauer and Sons
Europe,France,State1,788 Cunningham Pass,16882,Shirt - Discuss,Clothing,Shirt,2025-05-24,2025-05-27,165.73,52.0,5,Bridget,Smith,oscar32@yahoo.com,+1-962-762-2368x31275,Schultz-Schaefer
Asia,China,State1,7802 Patricia Brook Apt. 771,89360,Shirt - During,Clothing,Shirt,2025-04-09,2025-04-18,1712.6,339.67,8,Teresa,Fisher,mikayla02@hotmail.com,(944)735-3414x3910,Patel PLC
Asia,China,State1,667 Pamela Manors,84351,Jacket - Situation,Clothing,Jacket,2025-03-26,2025-03-28,189.99,113.42,2,Tom,Garner,ibrewer@gmail.com,001-110-408-3843x782,Dodson Ltd
Europe,UK,State2,795 Jacob Summit Suite 225,28254,Table - Indeed,Furniture,Table,2025-01-07,2025-01-14,1567.78,220.43,10,Brittany,Pugh,josephward@woods-carrillo.info,457.502.1885x211,Day Group
Europe,France,State1,83968 Weaver Parkways Suite 204,61072,Couch - Would,Furniture,Couch,2025-04-20,2025-04-28,1932.55,309.3,7,Mark,Watts,elizabeth94@mullins-brown.biz,001-392-853-2025,"Parker, Carney and Perez"
Europe,Germany,Bavaria,467 Fox Underpass Apt. 898,57454,Couch - Force,Furniture,Couch,2025-06-08,2025-06-16,43.14,22.58,3,Jason,Perry,mollynguyen@roberts.org,(118)572-3501,Phelps Ltd
North America,Canada,State1,63896 Carter Port Suite 791,93299,Table - Present,Furniture,Table,2025-04-20,2025-04-29,1254.91,212.43,9,Timothy,Sims,andrewpierce@martinez.com,(866)906-2515,Lewis-Freeman
North America,Canada,State1,671 Elizabeth Branch,00706,Jeans - Middle,Clothing,Jeans,2025-05-06,2025-05-08,1375.74,342.19,6,Jennifer,Welch,rmccullough@gmail.com,+1-274-966-5294x83051,"Peterson, King and Aguilar"
Europe,France,State1,3353 Ford Spring,59155,Table - Loss,Furniture,Table,2025-02-18,2025-02-27,508.96,369.8,2,Erin,Jimenez,rebecca26@patel-olson.com,104.979.1407,"Marshall, Paul and Brown"
Asia,Japan,State1,061 Timothy Greens,52186,Jacket - While,Clothing,Jacket,2025-07-05,2025-07-15,60.96,72.65,1,Phillip,Zimmerman,rwall@yahoo.com,(171)243-5668,Soto Ltd
Europe,UK,State2,525 Patel Stream Suite 735,96091,Laptop - Realize,Electronics,Laptop,2025-04-06,2025-04-09,1800.02,334.69,8,Alex,Montes,stanleygregory@walker.biz,612-614-9936x319,"Williams, Hernandez and Sherman"
Asia,India,Karnataka,90951 Long Locks Apt. 006,26827,Shirt - Indicate,Clothing,Shirt,2025-03-10,2025-03-13,2116.83,496.75,7,Peter,Dawson,howardchris@brown-dixon.com,811-353-7396x5272,Cook-Wolfe
Europe,France,State2,5489 Thomas Falls,91385,Tablet - Southern,Electronics,Tablet,2025-05-04,2025-05-10,3052.43,476.24,8,Briana,Jacobs,kelly82@smith-sandoval.org,313.268.9374,"Curry, Long and Murray"
North America,USA,New York,57712 Alicia Extensions Suite 195,54722,Jacket - Kitchen,Clothing,Jacket,2025-01-08,2025-01-17,559.61,399.81,2,Karen,Kennedy,angela22@gmail.com,001-552-858-7063x022,Brown Group
Asia,Japan,State1,789 Garcia Stream,25914,Jeans - Officer,Clothing,Jeans,2025-03-10,2025-03-18,1932.52,330.42,7,Michael,Whitehead,todd26@hotmail.com,+1-474-645-5072x83101,"Hebert, Salinas and Kelly"
Europe,Germany,Bavaria,6450 Daniels Run Apt. 580,14771,Chair - Oil,Furniture,Chair,2025-05-18,2025-05-24,90.68,64.58,2,Aaron,Conway,zwheeler@yahoo.com,761-937-8866x364,"Sutton, Fox and Williams"
North America,USA,New York,7496 James Neck Apt. 262,66298,Tablet - Important,Electronics,Tablet,2025-05-09,2025-05-16,1138.25,428.13,3,Danny,Buckley,whitetodd@gmail.com,+1-734-505-2194,Boyle and Sons
North America,Mexico,State1,796 Brooke Groves,47084,Chair - Across,Furniture,Chair,2025-05-05,2025-05-15,1520.05,425.09,4,Stefanie,Tucker,kgray@potter.org,+1-174-736-6539,"Smith, Kennedy and Walton"
Europe,France,State1,571 Daniel Roads Suite 449,51658,Jacket - Let,Clothing,Jacket,2025-07-25,2025-07-30,310.23,203.7,2,Caleb,Graham,matthewking@yahoo.com,437.212.3848x7756,"Bell, Cole and Evans"
Europe,France,State1,5798 David Ferry Apt. 005,77727,Chair - Weight,Furniture,Chair,2025-01-29,2025-02-07,450.69,82.24,8,Alexander,Mitchell,uhall@diaz.com,001-344-246-2712,"Miller, Kelley and Hart"
North America,Mexico,State1,3353 Salazar Mountains Suite 980,75254,Jeans - Cup,Clothing,Jeans,2025-04-01,2025-04-07,2839.5,495.26,9,Randy,Cochran,wheelersabrina@henry.info,827.376.3097x73983,Pace Inc
North America,Mexico,State2,550 Gina Highway Suite 507,92809,Shirt - Trip,Clothing,Shirt,2025-06-19,2025-06-28,1265.7,355.03,5,Donald,Ross,smithscott@page.com,(527)825-4630x5941,Jenkins-Carroll
Europe,Germany,Hamburg,3987 Joshua Route Suite 819,72992,Tablet - Sing,Electronics,Tablet,2025-05-17,2025-05-22,385.05,462.35,1,Steven,Johnson,simpsonjennifer@gmail.com,001-805-365-9726x839,Porter-Jones
Europe,UK,State2,1306 West Circles,17342,Couch - Young,Furniture,Couch,2025-05-25,2025-05-29,195.28,278.49,1,Amanda,Stewart,lharrington@grimes-meyer.com,798.214.9241,Hammond Ltd
North America,Canada,State2,390 Schmidt Bypass Suite 848,27264,Table - Dog,Furniture,Table,2025-07-03,2025-07-06,2256.11,366.11,9,Tiffany,Coleman,mramos@foster.biz,755.957.3541x0577,Mendoza Inc
